"196";"RIVER PLATE VS INDEPENDIENTE";"2739-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2739";"Palco 20";"17:8:57";"NOTIRIVER";"35";"1";"0"
"197";"RIVER PLATE VS INDEPENDIENTE";"2197-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2197";"Playon de Prensa";"17:7:32";"FOX SPORTS - TRANSMISION";"0";"0";"0"
"198";"RIVER PLATE VS INDEPENDIENTE";"2242-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2242";"Puerta de Prensa";"17:8:39";"FUTBOL AL - ROJO VIVO";"0";"0";"3"
"199";"RIVER PLATE VS INDEPENDIENTE";"2244-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2244";"Puerta de Prensa";"17:13:11";"FUTBOL AL - ROJO VIVO";"0";"0";"3"
"200";"RIVER PLATE VS INDEPENDIENTE";"2241-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2241";"Puerta de Prensa";"17:13:21";"FUTBOL AL - ROJO VIVO";"0";"0";"3"
"201";"RIVER PLATE VS INDEPENDIENTE";"2243-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2243";"Puerta de Prensa";"17:13:33";"FUTBOL AL - ROJO VIVO";"0";"0";"3"
"202";"RIVER PLATE VS INDEPENDIENTE";"2205-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2205";"Playon de Prensa";"17:12:50";"FOX SPORTS - TRANSMISION";"0";"0";"0"
"203";"RIVER PLATE VS INDEPENDIENTE";"2240-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2240";"Playon de Prensa";"17:14:47";"PRENSA - INTERCLUBES";"0";"0";"2"
"204";"RIVER PLATE VS INDEPENDIENTE";"2156-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2156";"Playon de Prensa";"17:15:24";"FOX SPORTS - TRANSMISION";"0";"0";"10"
"205";"RIVER PLATE VS INDEPENDIENTE";"2319-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2319";"Palco 20";"17:9:11";"ROJOS DE - PASION";"19";"3";"0"
"206";"RIVER PLATE VS INDEPENDIENTE";"2158-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2158";"Playon de Prensa";"17:15:43";"FOX SPORTS - TRANSMISION";"0";"0";"10"
"207";"RIVER PLATE VS INDEPENDIENTE";"2326-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2326";"Palco 20";"17:16:12";"ORGULLO - ROJO";"26";"3";"0"
"208";"RIVER PLATE VS INDEPENDIENTE";"2192-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2192";"Playon de Prensa";"17:17:25";"FOX SPORTS - TRANSMISION";"0";"0";"0"
"209";"RIVER PLATE VS INDEPENDIENTE";"2744-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2744";"Playon de Prensa";"17:18:18";"FOX SPORTS - TRANSMISION";"0";"0";"0"
"210";"RIVER PLATE VS INDEPENDIENTE";"2188-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2188";"Playon de Prensa";"17:18:27";"FOX SPORTS - TRANSMISION";"0";"0";"0"
"211";"RIVER PLATE VS INDEPENDIENTE";"2191-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2191";"Playon de Prensa";"17:18:40";"FOX SPORTS - TRANSMISION";"0";"0";"0"
"212";"RIVER PLATE VS INDEPENDIENTE";"2152-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2152";"Playon de Prensa";"17:18:53";"FOX SPORTS - TRANSMISION";"0";"0";"10"
"213";"RIVER PLATE VS INDEPENDIENTE";"2190-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2190";"Playon de Prensa";"17:19:3";"FOX SPORTS - TRANSMISION";"0";"0";"0"
"214";"RIVER PLATE VS INDEPENDIENTE";"2563-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2563";"Puerta de Prensa";"17:13:41";"RIVER FEDERAL";"0";"0";"0"
"215";"RIVER PLATE VS INDEPENDIENTE";"2252-http://www.cariverplate.com.ar/river-plate-vs-independiente-cuartos-final-copa-libertadores-2018";"2018-10-02";"2252";"Playon de Prensa";"17:19:18";"RADIO SPLENDID - AM 990";"0";"0";"8"
